imdb_id,rating
0036775,3
0036940,3
0037059,3
0036695,3
0037076,1
0036891,2
0037008,3
0037382,3
0037120,3
0037280,3
0037843,3
0037365,2
0038890,3
0038250,3
0037671,3
0037800,3
0037514,0
0037638,1
0037630,3
0037635,3
0038924,3
0038259,3
0037913,3
0037558,3
0037954,0
0037674,2
0038109,3
0038057,3
0038017,1
0037508,0
0037820,3
0037884,2
0038733,0
0038574,2
0039017,1
0038474,3
0039112,3
0038559,0
0038461,0
0038494,3
0038854,1
0038718,1
0038991,3
0038990,3
0038650,3
0039054,3
0038499,2
0038348,3
0036868,2
0038661,1
0038453,1
0038409,1
0038589,3
0038762,1
0038787,2
0038969,2
0038355,1
0039938,3
0039694,2
0039404,1
0039236,2
0039349,3
0039819,3
0039650,3
0039420,3
0039689,2
0040525,0
0039441,2
0039324,3
0039628,3
0039192,3
0039677,2
0039431,2
0039286,2
0039204,3
0039360,1
0040724,0
0040613,3
0156031,0
0040522,2
0040897,0
0040321,3
0040098,2
0040308,3
0040458,3
0040379,1
0040558,1
0040725,3
0040202,1
0040214,1
0040183,2
0040242,0
0040416,1
0041088,2
0040580,1
0040491,3
0039949,0
0040806,3
0040746,0
0041386,1
0042004,3
0041498,2
0041094,0
0041452,3
0041746,3
0041594,3
0040221,3
0041158,3
0041090,3
0041650,0
0041587,3
0041716,3
0041628,2
0041859,0
0041546,1
0041154,3
0041959,0
0043871,3
0043012,3
0041719,2
0042792,3
0042593,2
0042369,1
0042546,2
0042958,3
0042994,3
0042876,0
0042332,3
0043045,3
0042276,3
0042208,1
0043014,3
0042192,3
0042436,3
0042469,1
0043614,3
0043390,3
0043338,2
0044079,2
0043456,3
0043265,0
0043313,3
0044081,3
0043332,3
0044205,3
0042619,1
0043949,3
0044121,1
0044092,3
0043278,1
0043274,3
0044100,3
0044030,3
0044855,3
0043686,3
0044391,2
0044419,0
0045061,1
0044837,1
0043769,2
0045152,3
0044741,1
0044502,3
0043511,3
0044706,2
0045162,1
0045911,0
0045891,3
0045591,3
0046303,1
0045537,1
0045810,3
0045888,3
0045546,1
0045793,3
0046438,3
0045464,0
0046022,3
0045877,0
0046534,1
0046487,3
0046085,2
0047677,1
0045659,3
0045943,1
0045555,3
0046269,3
0046359,0
